Time [s],Channel 1
2023-12-15T09:11:32.677648917+00:00,0
2023-12-15T09:11:32.677657417+00:00,1
2023-12-15T09:11:32.677666250+00:00,0
2023-12-15T09:11:32.677674792+00:00,1
2023-12-15T09:11:32.677683625+00:00,0
2023-12-15T09:11:32.677692125+00:00,1
2023-12-15T09:11:32.677700958+00:00,0
2023-12-15T09:11:32.677709458+00:00,1
2023-12-15T09:11:32.677718292+00:00,0
2023-12-15T09:11:32.677726792+00:00,1
2023-12-15T09:11:32.677735625+00:00,0
2023-12-15T09:11:32.677752792+00:00,1
2023-12-15T09:11:32.677761625+00:00,0
2023-12-15T09:11:32.677770125+00:00,1
2023-12-15T09:11:32.677778958+00:00,0
2023-12-15T09:11:32.677787458+00:00,1
2023-12-15T09:11:32.677796292+00:00,0
2023-12-15T09:11:32.677804792+00:00,1
2023-12-15T09:11:32.677822292+00:00,0
2023-12-15T09:11:32.677830792+00:00,1
2023-12-15T09:11:32.677848292+00:00,0
2023-12-15T09:11:32.677900125+00:00,1
2023-12-15T09:11:32.677908958+00:00,0
2023-12-15T09:11:32.677917458+00:00,1
2023-12-15T09:11:32.677943625+00:00,0
2023-12-15T09:11:32.677986833+00:00,1
2023-12-15T09:11:32.677995667+00:00,0
2023-12-15T09:11:32.678073500+00:00,1
2023-12-15T09:11:32.678082333+00:00,0
2023-12-15T09:11:32.678090833+00:00,1
2023-12-15T09:11:32.678099667+00:00,0
2023-12-15T09:11:32.678108167+00:00,1
2023-12-15T09:11:32.678117000+00:00,0
2023-12-15T09:11:32.678160167+00:00,1
2023-12-15T09:11:32.678169000+00:00,0
2023-12-15T09:11:32.678186167+00:00,1
2023-12-15T09:11:32.678195000+00:00,0
2023-12-15T09:11:32.678246875+00:00,1
2023-12-15T09:11:32.678255708+00:00,0
2023-12-15T09:11:32.678264208+00:00,1
2023-12-15T09:11:32.678273042+00:00,0
2023-12-15T09:11:32.678333542+00:00,1
2023-12-15T09:11:32.678342375+00:00,0
2023-12-15T09:11:32.678420208+00:00,1
2023-12-15T09:11:32.678429042+00:00,0
2023-12-15T09:11:32.678437542+00:00,1
2023-12-15T09:11:32.678446375+00:00,0
2023-12-15T09:11:32.678506917+00:00,1
2023-12-15T09:11:32.678515750+00:00,0
2023-12-15T09:11:32.678593583+00:00,1
2023-12-15T09:11:32.678602417+00:00,0
2023-12-15T09:11:32.678619583+00:00,1
2023-12-15T09:11:32.678628417+00:00,0
2023-12-15T09:11:32.678645583+00:00,1
2023-12-15T09:11:32.678654417+00:00,0
2023-12-15T09:11:32.678680250+00:00,1
2023-12-15T09:11:32.678689083+00:00,0
2023-12-15T09:11:32.678697625+00:00,1
2023-12-15T09:11:32.678706417+00:00,0
2023-12-15T09:11:32.678714917+00:00,1
2023-12-15T09:11:32.678723750+00:00,0
2023-12-15T09:11:32.678732250+00:00,1
2023-12-15T09:11:32.678741083+00:00,0
2023-12-15T09:11:32.678749583+00:00,1
2023-12-15T09:11:32.678758417+00:00,0
2023-12-15T09:11:32.678766958+00:00,1
2023-12-15T09:11:32.678775792+00:00,0
2023-12-15T09:11:32.678792958+00:00,1
2023-12-15T09:11:32.678801792+00:00,0
2023-12-15T09:11:32.678810292+00:00,1
